epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.71797,3.71781,5.0844,4.35921,0,0,0,0,3.38755,4.65911,4.10709,0.0705085,0.00327684,0.00327684
2,14.8851,3.58707,4.92474,4.1638,0,0,0,0,3.34365,4.66271,4.09051,0.0403776,0.00647929,0.00647929
3,21.9359,3.46524,4.60125,4.0227,0.00376,0.19729,0.01395,0.00279,3.14158,4.27987,3.99261,0.0101147,0.00954974,0.00954974
4,29.5215,3.22682,4.31287,3.85158,0.31183,0.07823,0.07448,0.02112,2.61951,3.45159,3.65503,0.009406,0.009406,0.009406
5,37.5597,3.10714,3.96731,3.62662,0.0069,0.14557,0.01219,0.00448,2.92365,90.6612,4.08728,0.009208,0.009208,0.009208
6,45.2748,2.96965,3.78552,3.47453,0.45387,0.12407,0.09524,0.02919,2.54726,9.66714,3.41335,0.00901,0.00901,0.00901
7,53.0248,2.79773,3.61018,3.32554,0.31348,0.24829,0.20872,0.07987,2.23592,2.77338,3.06558,0.008812,0.008812,0.008812
8,60.6975,2.65825,3.36468,3.18561,0.46427,0.18478,0.15593,0.05721,2.38541,3.18406,3.20059,0.008614,0.008614,0.008614
9,68.612,2.54048,3.15304,3.04253,0.11753,0.4738,0.16844,0.07042,2.10429,27.85,3.01252,0.008416,0.008416,0.008416
10,76.3545,2.45445,3.08296,3.00395,0.67331,0.24179,0.33656,0.11809,2.15901,3.59313,2.91802,0.008218,0.008218,0.008218
11,84.2372,2.3293,2.77535,2.89665,0.35466,0.42351,0.38472,0.15962,2.04085,3.25204,2.78044,0.00802,0.00802,0.00802
12,92.0062,2.23977,2.66743,2.79431,0.28313,0.6276,0.51632,0.24509,1.83993,2.92581,2.62868,0.007822,0.007822,0.007822
13,99.986,2.1963,2.54998,2.76955,0.52008,0.66523,0.66779,0.32532,1.76774,1.88943,2.55572,0.007624,0.007624,0.007624
